Let's begin networking!
 The cnn model with 2 layers is estabished.
It is about the leave-one-out validation method!

Path Mark: content-2nditeration.json




******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 32
iterations per epoch: 36
*[测试结果] 片段识别 train 敏感度：24.14%, 特异度： 96.76%, 得分： 60.45, 准确度： 59.76%, 用时: 1.36s.
*[测试结果] 片段识别 test 敏感度：18.75%, 特异度： 96.43%, 得分： 57.59, 准确度： 55.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：83.96%, 特异度： 54.69%, 得分： 69.32, 准确度： 69.6%, 用时: 1.02s.
*[测试结果] 片段识别 test 敏感度：90.62%, 特异度： 60.71%, 得分： 75.67, 准确度： 76.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：87.23%, 特异度： 51.94%, 得分： 69.59, 准确度： 69.92%, 用时: 1.19s.
*[测试结果] 片段识别 test 敏感度：93.75%, 特异度： 60.71%, 得分： 77.23, 准确度： 78.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：44.24%, 特异度： 93.85%, 得分： 69.05, 准确度： 68.57%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：31.25%, 特异度： 96.43%, 得分： 63.84, 准确度： 61.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：80.37%, 特异度： 70.23%, 得分： 75.3, 准确度： 75.4%, 用时: 1.22s.
*[测试结果] 片段识别 test 敏感度：71.88%, 特异度： 85.71%, 得分： 78.79, 准确度： 78.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：68.22%, 特异度： 84.63%, 得分： 76.42, 准确度： 76.27%, 用时: 1.14s.
*[测试结果] 片段识别 test 敏感度：53.12%, 特异度： 92.86%, 得分： 72.99, 准确度： 71.67%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：70.09%, 特异度： 83.01%, 得分： 76.55, 准确度： 76.43%, 用时: 1.12s.
*[测试结果] 片段识别 test 敏感度：56.25%, 特异度： 92.86%, 得分： 74.56, 准确度： 73.33%, 用时: 0.05s.
