Let's begin networking!
 The cnn model with 2 layers are estabished.
It is about the leave-one-out validation method!



******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1260
increased epoches:  40
minibatch size: 64
iterations per epoch: 18
*[测试结果] 片段识别 train 敏感度：100.0%, 特异度： 0.0%, 得分： 50.0, 准确度： 49.68%, 用时: 1.24s.
*[测试结果] 片段识别 test 敏感度：100.0%, 特异度： 0.0%, 得分： 50.0, 准确度： 58.33%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：21.41%, 特异度： 97.16%, 得分： 59.28, 准确度： 59.52%, 用时: 1.24s.
*[测试结果] 片段识别 test 敏感度：8.57%, 特异度： 96.0%, 得分： 52.28, 准确度： 45.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：92.97%, 特异度： 33.91%, 得分： 63.44, 准确度： 63.25%, 用时: 1.17s.
*[测试结果] 片段识别 test 敏感度：94.29%, 特异度： 36.0%, 得分： 65.15, 准确度： 70.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：98.88%, 特异度： 14.35%, 得分： 56.61, 准确度： 56.35%, 用时: 1.1s.
*[测试结果] 片段识别 test 敏感度：100.0%, 特异度： 16.0%, 得分： 58.0, 准确度： 65.0%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：44.41%, 特异度： 92.11%, 得分： 68.26, 准确度： 68.41%, 用时: 1.23s.
*[测试结果] 片段识别 test 敏感度：31.43%, 特异度： 96.0%, 得分： 63.72, 准确度： 58.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：37.38%, 特异度： 94.01%, 得分： 65.7, 准确度： 65.87%, 用时: 1.03s.
*[测试结果] 片段识别 test 敏感度：25.71%, 特异度： 96.0%, 得分： 60.86, 准确度： 55.0%, 用时: 0.05s.
*[测试结果] 片段识别 train 敏感度：57.99%, 特异度： 85.8%, 得分： 71.89, 准确度： 71.98%, 用时: 1.13s.
*[测试结果] 片段识别 test 敏感度：40.0%, 特异度： 96.0%, 得分： 68.0, 准确度： 63.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：56.07%, 特异度： 87.22%, 得分： 71.64, 准确度： 71.75%, 用时: 1.25s.
*[测试结果] 片段识别 test 敏感度：40.0%, 特异度： 96.0%, 得分： 68.0, 准确度： 63.33%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：51.76%, 特异度： 91.17%, 得分： 71.47, 准确度： 71.59%, 用时: 1.28s.
*[测试结果] 片段识别 test 敏感度：31.43%, 特异度： 96.0%, 得分： 63.72, 准确度： 58.33%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：76.36%, 特异度： 73.5%, 得分： 74.93, 准确度： 74.92%, 用时: 1.28s.
*[测试结果] 片段识别 test 敏感度：60.0%, 特异度： 88.0%, 得分： 74.0, 准确度： 71.67%, 用时: 0.07s.
*[测试结果] 片段识别 train 敏感度：64.06%, 特异度： 83.12%, 得分： 73.59, 准确度： 73.65%, 用时: 1.04s.
*[测试结果] 片段识别 test 敏感度：45.71%, 特异度： 96.0%, 得分： 70.86, 准确度： 66.67%, 用时: 0.06s.
*[测试结果] 片段识别 train 敏感度：64.22%, 特异度： 83.75%, 得分： 73.98, 准确度： 74.05%, 用时: 1.13s.
