Let's begin networking!
 The cnn model with 2 layers are estabished.

It is about the non-cross-peopled 5folds cross validation method!


******************************************************************************************
                                         CNN_2
                                        fold_0
******************************************************************************************
trainer info:
training data size: 1056
increased epoches:  40
minibatch size: 64
iterations per epoch: 15
*[测试结果] 片段识别 train 敏感度：100.0%, 特异度： 2.36%, 得分： 51.18, 准确度： 49.15%, 用时: 1.06s.
*[测试结果] 片段识别 test 敏感度：100.0%, 特异度： 0.92%, 得分： 50.46, 准确度： 59.09%, 用时: 0.28s.
*[测试结果] 片段识别 train 敏感度：90.51%, 特异度： 46.0%, 得分： 68.25, 准确度： 67.33%, 用时: 1.04s.
*[测试结果] 片段识别 test 敏感度：96.13%, 特异度： 25.69%, 得分： 60.91, 准确度： 67.05%, 用时: 0.28s.
*[测试结果] 片段识别 train 敏感度：76.68%, 特异度： 69.27%, 得分： 72.97, 准确度： 72.82%, 用时: 1.01s.
*[测试结果] 片段识别 test 敏感度：77.42%, 特异度： 51.38%, 得分： 64.4, 准确度： 66.67%, 用时: 0.24s.
*[测试结果] 片段识别 train 敏感度：78.46%, 特异度： 66.36%, 得分： 72.41, 准确度： 72.16%, 用时: 0.95s.
*[测试结果] 片段识别 test 敏感度：80.65%, 特异度： 49.54%, 得分： 65.09, 准确度： 67.8%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：65.22%, 特异度： 80.91%, 得分： 73.06, 准确度： 73.39%, 用时: 1.01s.
*[测试结果] 片段识别 test 敏感度：65.16%, 特异度： 66.06%, 得分： 65.61, 准确度： 65.53%, 用时: 0.24s.
*[测试结果] 片段识别 train 敏感度：24.51%, 特异度： 97.45%, 得分： 60.98, 准确度： 62.5%, 用时: 0.9s.
*[测试结果] 片段识别 test 敏感度：22.58%, 特异度： 94.5%, 得分： 58.54, 准确度： 52.27%, 用时: 0.22s.
*[测试结果] 片段识别 train 敏感度：54.74%, 特异度： 90.18%, 得分： 72.46, 准确度： 73.2%, 用时: 0.87s.
*[测试结果] 片段识别 test 敏感度：49.68%, 特异度： 77.98%, 得分： 63.83, 准确度： 61.36%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：54.94%, 特异度： 90.18%, 得分： 72.56, 准确度： 73.3%, 用时: 0.86s.
*[测试结果] 片段识别 test 敏感度：50.97%, 特异度： 76.15%, 得分： 63.56, 准确度： 61.36%, 用时: 0.22s.
*[测试结果] 片段识别 train 敏感度：85.77%, 特异度： 61.45%, 得分： 73.61, 准确度： 73.11%, 用时: 0.97s.
*[测试结果] 片段识别 test 敏感度：88.39%, 特异度： 42.2%, 得分： 65.3, 准确度： 69.32%, 用时: 0.26s.
*[测试结果] 片段识别 train 敏感度：53.36%, 特异度： 90.91%, 得分： 72.13, 准确度： 72.92%, 用时: 0.9s.
*[测试结果] 片段识别 test 敏感度：51.61%, 特异度： 79.82%, 得分： 65.72, 准确度： 63.26%, 用时: 0.21s.
*[测试结果] 片段识别 train 敏感度：79.64%, 特异度： 71.82%, 得分： 75.73, 准确度： 75.57%, 用时: 0.92s.
*[测试结果] 片段识别 test 敏感度：81.29%, 特异度： 50.46%, 得分： 65.88, 准确度： 68.56%, 用时: 0.23s.
*[测试结果] 片段识别 train 敏感度：74.9%, 特异度： 77.09%, 得分： 76.0, 准确度： 76.04%, 用时: 0.9s.
*[测试结果] 片段识别 test 敏感度：75.48%, 特异度： 58.72%, 得分： 67.1, 准确度： 68.56%, 用时: 0.21s.
